ensembl,gene_name,naive,4h,12h,24h
ENSMUSG00000055254,Ntrk2,0.345863373,0.582565572,0.351970944,0.335763531
ENSMUSG00000055296,Tmem245,13.85458791,13.10569967,11.20871435,13.38308788
ENSMUSG00000055298,Ctsj,0,0,0,0
ENSMUSG00000055301,Adh7,0.012963999,0.006258151,0.031102458,0.136942285
ENSMUSG00000055302,Mrfap1,71.59900699,129.6197742,152.9053093,160.0407313
ENSMUSG00000055305,Zfp93,1.399796785,0.831125241,1.479861648,2.5651293
ENSMUSG00000055312,Them7,0.060942498,0.155071241,0.125034654,0.009920284
ENSMUSG00000055313,Pgbd1,0.544716154,0.381882176,0.887312795,1.397081101
ENSMUSG00000055319,Sec23ip,18.51059246,28.55402276,25.14697502,24.64549991
ENSMUSG00000055320,Tead1,0.233106587,0.204220517,0.12043092,0.108494722
ENSMUSG00000055322,Tns1,5.09298382,3.649150192,6.758142212,21.99629781
ENSMUSG00000055333,Fat2,0.002859386,0.00109964,0.001854667,0
ENSMUSG00000055334,Snupn,7.03850438,11.69916141,12.8073067,12.77252134
ENSMUSG00000055341,Zfp457,2.463656201,3.839915642,2.946562251,2.886946128
ENSMUSG00000055357,4933400A11Rik,0,0,0,0
ENSMUSG00000055360,Prl2c5,0,0,0,0
ENSMUSG00000055368,Slc6a2,0.024841876,0.010058103,0.007333572,0.007925321
ENSMUSG00000055371,Stam2,14.9738856,21.64175432,19.98048368,17.364396
ENSMUSG00000055373,Fut9,0.002504877,0.004337027,0.00546812,0.002275701
ENSMUSG00000055385,Rnf212,0.078755033,0.087548632,0.046281547,0.148470788
ENSMUSG00000055401,Fbxo6,9.766846362,14.93367649,16.30985944,14.39789971
ENSMUSG00000055407,Map6,0.451977645,0.337752068,0.252467403,0.507299191
ENSMUSG00000055409,Nell1,0,0.002456779,0.001919786,0.002224529
ENSMUSG00000055413,H2-Q5,90.27081753,64.17887954,35.96200147,29.9925685
ENSMUSG00000055415,Atp10b,0.647166306,0.557835208,0.386411819,0.332071535
ENSMUSG00000055416,Fam136b-ps,0,0.150071068,0,0.063127843
ENSMUSG00000055421,Pcdh9,0.004895632,0,0.005670408,0
ENSMUSG00000055430,Nap1l5,0.466368038,0.457147406,0.317665702,0.308873613
ENSMUSG00000055435,Maf,0.783389966,0.860002752,0.550510246,0.502603375
ENSMUSG00000055436,Srsf11,134.9740065,183.1921666,121.6127692,147.6086787
ENSMUSG00000055447,Cd47,108.8889482,53.13548638,81.06795557,96.72199137
ENSMUSG00000055452,Gm7353,0,0,0,0.01350253
ENSMUSG00000055471,Alk,0.002562077,0.00748381,0.00690454,0
ENSMUSG00000055480,Zfp458,2.418350147,3.294417724,3.30200956,3.286314874
ENSMUSG00000055485,Soga1,0.120398432,0.088953683,0.190133704,0.337519909
ENSMUSG00000055489,Ano5,0,0,0,0
ENSMUSG00000055491,Pprc1,34.92173355,116.2281131,40.07253756,46.80544864
ENSMUSG00000055493,Epm2a,0.257648229,0.070844766,0.057005483,0.08965451
ENSMUSG00000055497,Gm9974,2.454539539,3.083009836,1.169323407,1.680810761
ENSMUSG00000055515,Vmn2r81,0,0,0,0
ENSMUSG00000055523,Gucy2g,0.003650872,0,0,0.003686285
ENSMUSG00000055531,Cpsf6,54.77911809,62.78496182,69.44554214,91.83949728
ENSMUSG00000055538,Zcchc24,0.78393126,0.241851436,0.258590441,0.261314986
ENSMUSG00000055540,Epha6,0,0.037563348,0.023224516,0.05889355
ENSMUSG00000055541,Lair1,6.310070842,1.015265031,1.702048497,3.574524884
ENSMUSG00000055546,Timd4,0.121064946,0.035964059,0.031224673,0
ENSMUSG00000055547,Apobec4,0.010986416,0.011560745,0,0.009847681
ENSMUSG00000055553,Kxd1,49.37131174,51.93172866,65.8608151,66.34563512
ENSMUSG00000055555,Ct55,0.104693515,0.122870718,0.074687205,0.069362175
ENSMUSG00000055560,Zfp459,3.783210863,3.704341967,3.241596401,4.314758254
ENSMUSG00000055561,Spink5,0,0,0.002686939,0
ENSMUSG00000055567,Unc80,0.025390337,0.02338058,0.001836845,0.00552072
ENSMUSG00000055571,Olfr305,0.004068095,0,0,0.016844255
ENSMUSG00000055594,5530400C23Rik,0,0,0,0
ENSMUSG00000055602,Tcp10b,0.176688186,0.249235488,0.073642511,0.066639486
ENSMUSG00000055609,Hba-x,0,0,0,0
ENSMUSG00000055610,Olfr307,0.225260988,0.202035587,0.139675217,0.135241993
ENSMUSG00000055612,Cdca7,8.610272473,46.87256626,74.61457128,127.4975183
ENSMUSG00000055621,Olfr636-ps1,0,0,0,0
ENSMUSG00000055629,B4galnt4,3.598246992,1.116344614,1.638143374,1.472029244
ENSMUSG00000055632,Hmcn2,0.287847816,0.367139203,1.039390334,1.178350641
ENSMUSG00000055633,Zfp580,3.455761293,3.038072924,2.967612685,2.528664911
ENSMUSG00000055639,Dach1,0.017229597,0.006533221,0.003354059,0.003403076
ENSMUSG00000055643,Ubqln5,0,0,0,0
ENSMUSG00000055652,Klhl25,14.99971261,8.209953021,10.93258505,10.28310913
ENSMUSG00000055653,Gpc3,0.050559446,0.025678927,0.02696541,0.006673153
ENSMUSG00000055660,Mettl4,14.99952807,30.10658708,26.17266061,24.37816756
ENSMUSG00000055670,Zzef1,31.69070788,19.70449597,15.36579824,17.07059709
ENSMUSG00000055675,Kbtbd11,53.95949148,24.20009393,39.15428546,32.07396363
ENSMUSG00000055676,Gm5069,0.078401692,0.042079816,0.182514527,0.084087598
ENSMUSG00000055679,Ctsr,0,0,0,0
ENSMUSG00000055681,Cope,49.19065248,62.12905214,68.37385862,60.12746153
ENSMUSG00000055691,Gja6,0.060511091,0.097128141,0.020425936,0.067732006
ENSMUSG00000055692,Tmem191c,16.00458788,7.240347528,4.222548176,5.343551166
ENSMUSG00000055700,4933401B06Rik,0,0,0,0
ENSMUSG00000055707,Klhl26,5.111402745,6.451650567,4.824586218,5.208752163
ENSMUSG00000055717,Slain1,40.74129505,17.44481986,27.84880446,37.54602877
ENSMUSG00000055720,Ubl7,44.20926086,43.12714466,63.81363178,52.14108163
ENSMUSG00000055723,Rras2,61.23313653,61.49081529,78.24902653,57.30167993
ENSMUSG00000055725,Paqr3,2.312684962,2.856575822,2.021207467,2.687428976
ENSMUSG00000055730,Ces2a,0,0,0,0.008657992
ENSMUSG00000055733,Nap1l3,0.005224865,0.026165698,0.009371635,0.005414315
ENSMUSG00000055737,Ghr,0.441713844,0.396581289,0.428357367,0.322835098
ENSMUSG00000055745,Rtl6,3.673753938,1.47528319,3.690564857,4.260714527
ENSMUSG00000055746,Magea2,0,0,0,0
ENSMUSG00000055748,Gsdmc4,0.053718109,0.10974854,0.042659235,0.075878627
ENSMUSG00000055760,Gemin6,9.813308683,19.33316606,25.30441778,47.03932565
ENSMUSG00000055761,Nkain3,0.575901956,0.608474699,0.362632966,0.325196428
ENSMUSG00000055762,Eef1d,276.7965282,389.2848912,559.4443124,572.822717
ENSMUSG00000055763,Rybp-ps,0,0,0,0
ENSMUSG00000055771,Gm7936,0,0,0,0
ENSMUSG00000055775,Myh8,0.344347132,0.374652833,0.236341992,0.230910183
ENSMUSG00000055780,Usp26,0.013893315,0.016225147,0.006731018,0.017822313
ENSMUSG00000055782,Abcd2,0.239107082,0.177511721,0.10667334,0.102350893
ENSMUSG00000055789,Ftdc2,0,0,0,0
ENSMUSG00000055795,Gm5160,0.067125624,0.158350306,0.11679704,0.183995646
ENSMUSG00000055799,Tcf7l1,0.308555375,0.646568562,0.202016024,0.286317982
ENSMUSG00000055805,Fmnl1,123.4285908,90.41979671,69.63939941,68.16075349
ENSMUSG00000055809,Dnaaf3,0.091637564,0.090260282,0.232602779,0.339421968
ENSMUSG00000055811,Cldn17,0,0,0,0
